dwa_id,dwa_title,automation_feasibility_today,llm_exposure,physical_embodiment_required,interpersonal_demand,judgment_under_uncertainty,accountability_requirement,error_cost,verdict,confidence,rationale,rubric_version,model,scored_at,n_raters,score_disagreement,raters
4.A.1.a.1.d.1,Obtain property information.,76.0,75.0,12.5,10.0,22.5,30.0,32.5,largely_automatable,medium,"Title, assessor and MLS records are digitised and API-accessible, so retrieval and summarisation are routine; only physical inspection or unrecorded encumbrances require a person.",2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,11.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.d.5,Retrieve information from electronic sources.,87.5,89.0,1.5,2.5,15.0,12.5,17.5,largely_automatable,high,Querying databases and search systems is the canonical case of software doing the whole task; the only residual is judging source reliability.,2026-09-16.1,claude-opus-5,2026-09-16T21:55:20Z,2,5.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.d.7,"Search files, databases or reference materials to obtain needed information.",86.0,89.0,6.0,4.0,18.5,12.5,17.5,largely_automatable,high,Retrieval over indexed digital corpora is the canonical strength of search plus RAG systems; the only friction is non-digitised or access-restricted material.,2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,7.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.d.8,Collect archival data.,43.5,63.5,40.0,10.0,27.5,20.0,25.0,augmentable,medium,"Binding constraint is that much archival material is physical, uncatalogued or idiosyncratically stored, requiring on-site handling and provenance judgement before any machine reading can occur.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,13.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.f.1,Gather organizational performance information.,58.5,77.5,7.5,25.0,35.0,30.0,32.5,largely_automatable,medium,Most performance data already flows through BI and ERP pipelines that automate collection; what resists is eliciting soft or undocumented performance signals from staff.,2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,8.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.f.3,Gather physical survey data.,34.0,18.5,85.0,10.0,32.5,40.0,45.0,resistant,high,"Data must be captured in situ; drones, LiDAR and GNSS rigs automate parts of the capture but instrument placement, ground truthing and access decisions still need a body on the terrain.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,7.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.f.4,Collect data about project sites.,27.5,27.5,80.0,20.0,37.5,37.5,42.5,resistant,medium,"Site characterisation requires physical presence to observe conditions that remote sensing under-samples, such as subsurface, access and adjacent-use details.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,7.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.h.1,Research hydrologic features or processes.,24.0,62.5,47.5,11.0,65.0,42.5,45.0,augmentable,medium,"Literature synthesis and hydrologic model runs are highly machine-assisted, but field gauging and the framing of research questions and model assumptions remain expert-owned.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,5.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.h.2,Research geological features or processes.,22.5,60.0,53.5,11.0,66.5,42.5,45.0,augmentable,medium,"Geological interpretation depends on field sampling and outcrop observation plus contested inference from sparse evidence, limiting machines to data processing and image analysis.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,6.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.h.3,Conduct climatological research.,31.5,75.0,21.5,11.0,63.5,40.0,42.5,augmentable,medium,"The work is almost entirely computational over large archived datasets, so the constraint is not embodiment but the contested design of models and attribution claims that a scientist must defend.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,7.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.i.2,Research industrial processes or operations.,30.0,71.5,35.0,25.0,55.0,35.0,37.5,augmentable,medium,"Documentation and sensor-log analysis are strongly LLM-exposed, but understanding how a plant actually runs requires floor observation and interviews with operators.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,8.3,claude-opus-5;claude-sonnet-5
4.A.1.a.1.i.3,Conduct scientific research of organizational behavior or processes.,25.0,76.0,12.5,40.0,65.0,37.5,32.5,augmentable,medium,"Design, analysis and write-up are heavily machine-assisted, but human-subject data collection and research-ethics responsibility keep a named investigator in the loop.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,9.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.j.1,Research impacts of environmental conservation initiatives.,22.5,72.5,29.0,25.0,66.0,42.5,40.0,augmentable,medium,Evaluating conservation outcomes hinges on contested counterfactual attribution and field monitoring; models can synthesise evidence but cannot settle the causal claim.,2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,12.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.j.3,Investigate the environmental impact of projects.,20.0,63.5,42.5,32.5,68.5,69.0,61.5,resistant,medium,"Impact assessment is a regulated act whose findings must be certified by a qualified professional after site inspection and stakeholder consultation, regardless of how much analysis is automated.",2026-09-16.1,claude-opus-5,2026-09-16T21:53:54Z,2,13.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.j.4,Monitor environmental impacts of production or development activities.,35.0,47.5,50.0,20.0,55.0,60.0,57.5,augmentable,medium,"Continuous sensing and telemetry automate the data capture, but interpreting anomalies against permit conditions and doing site verification still requires a qualified person on the ground.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,7.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.j.5,Research environmental impact of industrial or development activities.,30.0,77.5,25.0,20.0,70.0,57.5,57.5,augmentable,medium,"Literature synthesis and modelling are strongly LLM-exposed, but original impact research depends on field sampling and defensible methodological choices that a model cannot own.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,5.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.j.6,Identify environmental concerns.,32.5,70.0,30.0,22.5,67.5,57.5,60.0,augmentable,medium,"Screening for known concern categories is pattern-matching a model does well, but spotting unlisted or site-specific hazards requires contextual observation and professional responsibility for what was missed.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,5.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.j.7,Evaluate environmental impact of operational or development activities.,25.0,72.5,25.0,27.5,75.0,72.5,67.5,augmentable,medium,"Impact evaluations are contested professional judgments that regulators require a named, often licensed, assessor to stand behind, even though the analytic drafting is highly model-assistable.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,5.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.l.1,Gather medical information from patient histories.,35.0,70.0,12.5,45.0,42.5,67.5,62.5,augmentable,medium,Abstracting structured and narrative data from existing records is close to pure text processing; the binding constraint is clinical accountability for omitted or misread findings.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,17.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.l.2,"Collect medical information from patients, family members, or other medical professionals.",25.0,57.5,22.5,72.5,47.5,70.0,65.0,resistant,medium,"Automated intake handles routine history-taking, but eliciting reluctant, distressed or inconsistent accounts from patients and families is a relational clinical skill with direct safety consequences.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,11.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.l.3,"Collect information from people through observation, interviews, or surveys.",40.0,52.5,35.0,65.0,40.0,32.5,30.0,augmentable,medium,"Surveys are already fully instrumented, but direct observation requires presence and interviewing depends on rapport and adaptive probing that automated instruments handle shallowly.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,7.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.l.4,Collect information about clients.,45.0,62.5,17.5,55.0,32.5,37.5,35.0,augmentable,medium,Digital intake forms and CRM enrichment already capture most structured client data; what remains is the conversational elicitation of context clients do not volunteer.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,5.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.m.1,Research livestock management methods.,37.5,77.5,22.5,15.0,47.5,27.5,32.5,augmentable,medium,"Synthesising published husbandry evidence is squarely in model territory, but validating methods against live herds and local conditions needs hands-on trial work.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,14.3,claude-opus-5;claude-sonnet-5
4.A.1.a.1.m.2,Research crop management methods.,38.5,79.0,22.5,14.0,47.5,26.0,32.5,augmentable,medium,Agronomic literature and trial-data analysis are highly LLM-exposed; field plot experimentation and site-specific verification remain physical and seasonal.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,12.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.m.3,Research sustainable agricultural processes or practices.,35.0,79.0,20.0,17.5,55.0,27.5,32.5,augmentable,medium,"Sustainability research is information-synthesis heavy, but weighing contested trade-offs across yield, soil and emissions is a judgment call requiring empirical field validation.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,13.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.n.2,Gather customer or product information to determine customer needs.,57.5,77.5,10.0,45.0,35.0,20.0,22.5,largely_automatable,medium,"Behavioural analytics, product catalogues and conversational agents already infer customer needs end-to-end in commercial deployment; errors are cheap and instantly correctable.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:01Z,2,5.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.n.5,Collect data about customer needs.,55.0,72.5,10.0,47.5,32.5,17.5,20.0,augmentable,medium,"Automated surveys, review mining and conversational agents already harvest stated needs at scale; the binding constraint is eliciting unstated or latent needs through rapport-based interviewing, where a human interlocutor still gets richer signal.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,5.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.o.1,Observe individuals' activities to gather information or compile evidence.,30.0,27.5,72.5,27.5,55.0,67.5,62.5,resistant,medium,"Fixed-camera analytics can log activity, but covert or mobile observation of a specific person in unstructured environments needs bodily presence, and evidentiary use requires a named observer who can testify to chain of custody.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,5.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.p.1,Research genetic characteristics or expression.,27.5,67.5,55.0,12.5,60.0,37.5,40.0,augmentable,medium,"Sequence and expression analysis is heavily computational and highly LLM/ML-exposed, but hypothesis framing plus wet-lab sample handling and assay execution remain hands-on outside a few automated screening facilities.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,7.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.p.2,Research diseases or parasites.,25.0,67.5,55.0,15.0,62.5,42.5,50.0,augmentable,medium,"Literature synthesis, epidemiological modelling and genomic analysis are strongly machine-assisted, but culturing pathogens, field sampling and biosafety-regulated experimentation anchor the work to physical labs and licensed investigators.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,12.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.p.3,Conduct research of processes in natural or industrial ecosystems.,22.5,57.5,62.5,15.0,62.5,35.0,37.5,augmentable,medium,"Sensor networks and remote sensing automate data capture, but designing the study, siting instruments and interpreting confounded ecosystem dynamics require in-situ presence and contestable expert inference.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,9.3,claude-opus-5;claude-sonnet-5
4.A.1.a.1.p.4,Research microbiological or chemical processes or structures.,27.5,62.5,62.5,10.0,60.0,35.0,42.5,augmentable,medium,"High-throughput robotic platforms and predictive models cover slices of the bench work, but end-to-end autonomous laboratories are rare in deployment; sample preparation and troubleshooting keep hands in the loop.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,7.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.p.5,Classify organisms based on their characteristics or behavior.,57.5,72.5,30.0,5.0,45.0,22.5,25.0,largely_automatable,medium,"Image classifiers, acoustic ID and DNA barcoding pipelines already assign taxa routinely and at scale; the residue is novel or cryptic taxa where formal taxonomic judgment and specimen handling still require a systematist.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,6.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.p.6,Examine characteristics or behavior of living organisms.,32.5,50.0,60.0,7.5,50.0,25.0,27.5,resistant,medium,"Automated behaviour tracking works in instrumented enclosures, but examining organisms generally means handling and inspecting them in varied settings, which deployed systems cannot do.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,7.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.q.3,Obtain written authorization to perform activities.,37.5,52.5,15.0,47.5,25.0,72.5,52.5,augmentable,low,"Permit and consent workflows are digitised and largely form-driven, but the authorisation must be sought and attested by a legally identifiable party, and negotiating with a reluctant grantor is relational.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,10.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.r.1,Conduct anthropological or archaeological research.,15.0,55.0,70.0,35.0,70.0,32.5,40.0,resistant,high,"Excavation and ethnographic fieldwork are irreducibly embodied and relational; only the literature review, artefact classification and write-up stages are meaningfully machine-assisted.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,13.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.r.2,Conduct historical research.,40.0,82.5,22.5,10.0,62.5,22.5,22.5,augmentable,medium,"The work is reading, collating and arguing over text, which models do well, but undigitised archives require physical access and source-credibility judgment plus hallucination risk keeps a historian accountable for the interpretation.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,7.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.r.3,Conduct research on social issues.,37.5,77.5,15.0,32.5,67.5,30.0,32.5,augmentable,medium,"Secondary data analysis and literature synthesis are highly exposed, but primary collection from human subjects involves consent, trust and ethics oversight, and causal claims about society remain contested expert judgment.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:02Z,2,10.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.s.1,Conduct research to increase knowledge about medical issues.,26.0,74.0,37.5,20.0,67.5,55.0,57.5,augmentable,medium,"Literature synthesis, hypothesis generation and data analysis are strongly model-exposed, but generating new medical knowledge still binds on wet-lab or clinical data collection and on a named principal investigator answerable for human-subject integrity.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,14.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.s.2,Collect information about community health needs.,29.0,53.5,34.0,61.0,46.0,40.0,37.5,augmentable,medium,"Secondary epidemiological and administrative data can be mined automatically, but the binding constraint is eliciting needs from residents and community organisations, which requires presence and trust-building.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,6.6,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.1,Research engineering aspects of biological or chemical processes.,21.0,65.5,51.5,15.0,71.5,46.5,53.5,augmentable,medium,"Models can review process literature, simulate kinetics and propose scale-up parameters, but validating bio/chemical process behaviour requires bench and pilot-plant experimentation that no deployed system runs autonomously.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,6.1,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.10,Research methods to improve food products.,21.0,59.0,56.5,19.0,61.5,42.5,42.5,augmentable,medium,"Formulation ideation and ingredient-literature search are highly model-exposed, but the decisive evidence comes from physical trials and sensory panels that need matter and human palates.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,6.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.2,Research engineering applications of emerging technologies.,31.5,79.0,19.0,12.5,66.0,33.5,33.5,augmentable,medium,"This is largely desk-based scanning and synthesis of technical literature and vendor data, which frontier models do well; what they cannot own is the engineer's discriminating judgement about which emerging technology is actually viable for a given context.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,7.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.3,Research design or application of green technologies.,29.5,76.0,25.0,14.0,66.0,35.0,35.0,augmentable,medium,"Green-technology assessment is document- and data-heavy and thus well within model reach, but site-specific feasibility and lifecycle assumptions remain contested calls a human must select and defend.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,5.3,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.4,Conduct research to gain information about products or processes.,35.0,78.5,22.5,12.5,55.0,32.5,32.5,augmentable,low,"Written at high generality: the information-gathering core is retrieval and synthesis that tools already handle, while any empirical testing component pulls it back into the physical world.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,5.3,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.5,Research advanced engineering designs or applications.,26.5,75.0,26.5,12.5,70.0,42.5,45.0,augmentable,medium,"Advanced design research is analytic and simulation-driven, so models and solvers cover much of it; the constraint is novelty — frontier design questions have no precedent in training data and require verified experimental or computational validation.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,5.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.6,"Research energy production, use, or conservation.",29.5,76.5,24.0,14.0,61.0,36.5,37.5,augmentable,medium,"Energy data are abundant and machine-readable, making modelling and literature review highly automatable; the sticking point is choosing scenario assumptions and reconciling field measurements with models.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,7.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.7,Research human performance or health factors related to engineering or design activities.,17.5,60.0,44.0,41.5,68.0,56.5,53.5,augmentable,medium,"Human-factors evidence is generated by observing and testing real people, so recruitment, instrumented trials and ethical oversight anchor it to humans even though the synthesis is model-exposed.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,8.0,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.8,Research new technologies.,36.0,81.0,14.5,11.0,56.0,29.0,29.0,augmentable,medium,"Technology scouting is almost pure reading and summarising over public information, the closest of this set to full automation; residual human value lies in filtering hype and relevance rather than in gathering.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,6.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.t.9,Research product safety.,20.0,64.5,42.5,18.5,67.5,75.0,76.5,augmentable,medium,"Standards review, hazard analysis and failure-data mining are model-tractable, but destructive and compliance testing is physical and product-liability regimes require a named, qualified person to stand behind the safety conclusion.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:35Z,2,8.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.u.2,Examine debris to obtain information about causes of fires.,6.5,25.0,91.0,17.5,80.0,84.0,82.5,human_anchored,high,"Fire cause determination requires hands-on sifting, sampling and spatial reading of a burn scene, and the conclusion is typically sworn to by a certified investigator in legal proceedings; only pattern-analysis support is machine-tractable.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,4.7,claude-opus-5;claude-sonnet-5
4.A.1.a.1.v.1,"Investigate system, equipment, or product failures.",22.5,53.5,59.0,22.5,67.5,59.0,62.5,augmentable,medium,"Log analytics and diagnostic models can localize many failures, but root-cause work usually needs physical teardown and inspection plus a defensible causal judgment, so the machine contribution is hypothesis generation rather than closure.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,5.9,claude-opus-5;claude-sonnet-5
4.A.1.a.1.v.3,Investigate safety of work environment.,11.0,37.5,76.5,37.5,65.0,78.5,75.0,human_anchored,high,"Safety assessment binds on walking the site, observing actual worker behaviour and signing a regulated finding; sensors and checklist tools inform but cannot bear the statutory responsibility.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,7.4,claude-opus-5;claude-sonnet-5
4.A.1.a.1.w.1,"Interview employees, customers, or others to collect information.",21.5,56.5,16.0,85.0,47.5,37.5,32.5,resistant,medium,"Automated survey and chat interviews already harvest routine information, but eliciting candid or sensitive testimony depends on rapport, probing and reading the respondent, which conversational agents do poorly in adversarial or emotional settings.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,13.3,claude-opus-5;claude-sonnet-5
4.A.1.a.2.a.12,Monitor video displays of medical equipment to ensure proper functioning.,63.5,32.5,32.5,12.5,35.0,76.5,86.5,augmentable,medium,"Device self-diagnostics and central telemetry already flag malfunctions automatically, but alarm interpretation and the bedside response remain a licensed clinician's responsibility given the lethality of a missed fault.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,6.3,claude-opus-5;claude-sonnet-5
4.A.1.a.2.a.9,Assess equipment functioning.,52.5,37.5,50.0,10.0,42.5,45.0,51.5,augmentable,medium,"Condition-monitoring sensors and predictive-maintenance analytics cover much of the routine assessment, yet confirming a fault typically still requires physically handling or testing the machine.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,8.3,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.1,Monitor industrial energy consumption or management.,79.0,52.5,11.0,8.5,30.0,31.0,35.0,largely_automatable,high,Metering plus energy-management software performs continuous consumption tracking and anomaly detection end-to-end; humans mainly set targets and act on exceptions.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,8.3,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.15,Monitor the productivity or efficiency of industrial operations.,73.5,56.0,14.0,15.0,35.0,30.0,32.5,largely_automatable,medium,MES and OEE dashboards already compute and report throughput and efficiency continuously from instrumented lines; the residual human role is interpreting causes and deciding interventions.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,9.7,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.16,Monitor operational procedures in technical environments to ensure conformance to standards.,41.5,55.0,33.5,27.5,50.0,58.5,55.0,augmentable,medium,"Digital procedure execution and audit trails automate conformance checking where work is logged, but observing whether people actually follow protocol in situ, and attesting to it, stays with a human.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,12.3,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.19,Monitor the handling of hazardous materials or medical wastes.,17.5,35.0,70.0,32.5,47.5,85.0,86.5,human_anchored,high,Hazardous and medical waste handling is governed by regulations that name a responsible custodian and require physical verification of containment and manifests; tracking software supports but cannot substitute.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,9.7,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.2,Monitor facilities or operational systems.,70.0,46.5,25.0,11.0,32.5,40.0,44.0,largely_automatable,medium,Building-management and SCADA platforms with alarming perform continuous facility surveillance today; humans are retained mostly for response and for unsensored conditions.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,6.9,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.3,Monitor operational quality or safety.,41.0,46.5,40.0,25.0,53.5,65.0,67.5,augmentable,low,"Instrumented quality and safety metrics are readily machine-monitored, but the safety dimension carries a named-responsible-person requirement and depends on unmeasured, in-person cues; the activity as written is heterogeneous.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:36Z,2,7.6,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.6,Monitor construction operations.,17.5,30.0,75.0,42.5,55.0,65.0,66.0,resistant,medium,"Construction sites are unstructured, changing physical environments where spotting unsafe or out-of-spec work requires being present and directing crews; drone and camera progress-capture automates documentation but not the supervisory judgment or safety liability.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:40Z,2,7.4,claude-opus-5;claude-sonnet-5
4.A.1.a.2.b.9,Inspect operational processes.,38.5,42.5,52.5,18.5,47.5,50.0,50.0,augmentable,medium,"Instrumented processes already self-monitor via SCADA and machine vision, but detecting the anomalies that no sensor covers still needs a person walking the line and interpreting context.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:40Z,2,8.4,claude-opus-5;claude-sonnet-5
4.A.1.a.2.c.1,Monitor financial information.,72.5,79.0,3.5,11.0,40.0,51.5,54.0,largely_automatable,high,"Financial data is already digital and structured, so continuous tracking, variance flagging and narrative summarisation are routine software functions; only the sign-off on what the numbers mean stays human.",2026-09-16.1,claude-opus-5,2026-09-16T21:54:40Z,2,8.4,claude-opus-5;claude-sonnet-5
4.A.1.a.2.c.3,Monitor sales activities.,64.5,76.0,5.0,21.5,39.0,31.0,30.0,largely_automatable,high,CRM and BI platforms already ingest pipeline data and generate alerts and forecasts end-to-end; the binding constraint is only whether anyone acts on the output.,2026-09-16.1,claude-opus-5,2026-09-16T21:54:40Z,2,6.9,claude-opus-5;claude-sonnet-5
