dwa_id,dwa_title,susceptibility,exposure,anchoring,stakes,deployment_gap,verdict,confidence,n_occupations,n_tasks,rationale
4.A.4.c.1.a.1,Classify materials according to standard systems.,83.8,85.0,17.5,22.5,9.0,largely_automatable,medium,2,2,Applying a fixed taxonomy to described items is a classic classification task well served by ML and LLMs; the residual constraint is only where the material must be physically inspected or handled to be categorized.
4.A.3.b.1.f.8,Code data or other information.,83.4,86.0,19.2,31.2,26.0,largely_automatable,medium,4,5,"Classification against a codebook (medical, survey, taxonomic) is exactly what current models do well; the constraint is ambiguous edge cases and audit requirements in regulated coding like billing."
4.A.3.b.6.c.9,Prepare technical reports for internal use.,83.3,86.0,19.4,28.8,34.5,largely_automatable,medium,9,10,"Internal-audience technical write-ups have low external liability and abundant structured source data, so model drafting plus light review can carry most of the task."
4.A.2.b.2.j.3,Develop content for sales presentations or other materials.,83.2,86.5,20.0,20.5,30.0,largely_automatable,medium,3,3,"Generating persuasive copy, decks and supporting collateral from product and customer data is squarely what generative models already do end-to-end; the binding constraint is only access to accurate internal product/pricing facts and brand sign-off."
4.A.2.b.2.o.14,Prepare graphics or other visual representations of information.,83.1,82.5,16.2,22.5,25.0,largely_automatable,high,8,17,Chart and infographic generation from data is a solved code-generation problem with deployed tooling; residual human role is taste and checking that the visual does not mislead.
4.A.3.b.1.f.5,Update computer database information.,82.9,80.0,14.1,27.5,4.0,largely_automatable,high,3,5,"Record updating is the archetypal rules-based transaction already handled by integrations, RPA and workflow automation; residual human work is exception handling and source verification."
4.A.2.b.3.a.3,Stay informed about current developments in field of specialization.,82.8,85.0,19.3,26.2,40.0,augmentable,medium,21,22,"Automated alerting and summarisation pipelines already deliver field developments continuously; judging which developments matter for one's own practice, and absorbing them, remains the human's part."
4.A.2.a.1.c.3,Prepare tests.,82.7,88.5,23.1,37.5,33.5,largely_automatable,medium,20,20,Item generation aligned to standards is a core LLM strength; the remaining constraint is validity review and psychometric vetting of high-stakes items.
4.A.2.b.5.c.1,Schedule appointments.,82.7,80.0,14.7,16.2,-7.5,largely_automatable,high,4,4,Self-service booking platforms and voice/chat agents already complete appointment scheduling end-to-end; nothing in the task requires a human signature.
4.A.2.b.3.a.7,Update knowledge about emerging industry or technology trends.,82.5,86.0,21.0,25.0,38.5,augmentable,medium,18,18,"Trend monitoring is largely automated scanning and synthesis of public information, but distinguishing durable signal from hype is a contested judgment call the human still owns."
4.A.2.b.2.f.4,Create databases to store electronic data.,82.4,81.5,16.6,25.0,18.0,largely_automatable,high,11,17,"Instantiating a database from a specification is scripted, reversible and routinely handled by templates, provisioning tools and code-generating assistants."
4.A.3.b.6.l.10,Develop training materials.,82.3,85.0,20.3,26.2,34.5,augmentable,high,2,2,"Generative models produce usable curricula, slides and assessments directly, so the remaining human role is needs analysis, organisational context and validating that the material actually changes behaviour."
4.A.3.b.6.l.3,Create technology-based learning materials.,82.3,83.0,18.3,23.2,35.5,augmentable,medium,1,1,"Authoring tools plus generative text, image and voice cover most content production, but integration into an LMS, accessibility compliance and interaction design still require human assembly."
4.A.4.b.6.b.3,Advise customers on the use of products or services.,82.0,87.5,23.4,21.2,25.0,largely_automatable,high,13,16,"Product usage guidance is documented knowledge delivered conversationally, the canonical deployed use case for LLM assistants."
4.A.2.b.3.a.20,Update technical knowledge.,81.9,84.0,20.2,30.0,46.5,augmentable,medium,16,16,"Technical documentation, release notes and standards are ideal LLM input, yet much technical currency is acquired through hands-on practice with the equipment or system and must be internalised by the practitioner."
4.A.3.b.6.l.9,Develop instructional materials.,81.6,84.0,20.8,28.2,34.0,augmentable,high,20,21,Content generation and alignment to stated learning objectives are automatable; the constraint is contested pedagogical judgment about sequencing and fit to a particular learner population.
4.A.2.a.2.c.3,Compile data or documentation.,81.5,80.0,17.1,28.8,15.0,largely_automatable,medium,1,1,Generic collection and collation of documents and data is largely a retrieval-and-formatting task already handled by document management and LLM tooling.
4.A.2.b.2.j.1,Develop promotional materials.,81.3,83.5,20.9,21.2,27.0,largely_automatable,high,2,2,"Generative text and image tools already produce deployable promotional copy and creative at scale; the residual human role is brand judgment and legal review, and errors are cheap to correct."
4.A.3.b.6.o.6,Prepare operational progress or status reports.,81.3,81.5,18.9,30.5,20.0,largely_automatable,high,4,4,"Status and progress reporting is mostly aggregation of tracked metrics into prose, a task deployed dashboards and LLM summarisers perform end-to-end; only contested interpretations of slippage need a human."
4.A.2.a.2.c.2,Compile technical information or documentation.,81.2,84.0,21.6,35.0,31.5,augmentable,medium,3,3,"LLMs excel at gathering, structuring and drafting technical documentation, but sourcing authoritative specifications from engineers and certifying correctness keeps a human owner."
4.A.3.b.1.f.7,Prepare data for analysis.,81.2,82.5,20.1,31.2,26.0,augmentable,medium,8,12,"Cleaning, joining and reshaping data is highly code-generatable, but decisions about outliers, missingness and what counts as valid still shape downstream conclusions and need an analyst's sign-off."
4.A.3.b.2.f.16,Develop procedures for data entry or processing.,81.2,85.0,22.7,34.2,37.5,augmentable,medium,2,4,"Data entry and processing workflows are rule-bound and highly documentable, so drafting them is well within model capability; constraints are mostly integration with legacy systems rather than reasoning."
4.A.4.a.3.c.11,Answer telephones to direct calls or provide information.,81.2,82.5,20.0,15.0,6.0,largely_automatable,high,1,1,"Call routing and canned information delivery is the most thoroughly automated communication task in existence, with IVR and now conversational voice agents commercially deployed end-to-end."
4.A.3.b.6.o.4,Prepare operational reports.,81.1,81.5,19.2,33.0,20.0,largely_automatable,high,18,18,"Operational reporting draws on instrumented system data, and BI pipelines plus generated narrative summaries already produce these routinely with minimal review."
4.A.2.a.2.a.10,Verify mathematical calculations.,80.9,75.0,13.1,37.5,-12.5,largely_automatable,high,6,6,Recomputation and cross-footing are deterministic and have been machine-performed for decades; the only residual need is identifying which figures matter and signing off.
4.A.2.b.2.b.8,Design websites or web applications.,80.9,85.0,23.1,25.0,30.0,augmentable,high,5,10,"Template and generative site builders already ship end-to-end for commodity cases; bespoke brand, accessibility and conversion judgment is what keeps a designer in the loop."
4.A.2.a.4.g.17,Analyze energy usage data.,80.8,80.0,18.4,29.5,11.5,largely_automatable,high,1,2,"Metering, building-management analytics and automated disaggregation already produce energy usage findings end-to-end; humans mainly choose which recommended retrofits to fund."
4.A.2.b.2.o.13,Develop diagrams or flow charts of system operation.,80.7,81.5,20.2,28.8,30.5,largely_automatable,medium,5,6,"Diagramming is essentially structured text (Mermaid, PlantUML, BPMN) that frontier models generate reliably; the only real limit is accurately eliciting how the undocumented system actually behaves."
4.A.3.b.6.l.8,Prepare instruction manuals.,80.4,83.0,22.1,40.5,33.5,augmentable,medium,4,4,"Models draft procedures well from specifications, but hands-on validation that the documented steps actually work, plus liability for safety warnings, anchors a human reviewer."
4.A.4.c.1.a.3,Process healthcare paperwork.,80.4,86.5,25.6,45.0,21.5,largely_automatable,medium,7,11,"Document extraction, coding and claims workflows are already heavily automated in commercial RCM software; remaining friction is fragmented systems, payer exceptions and HIPAA-driven sign-off rather than cognitive difficulty."
4.A.4.b.3.e.4,Train others in computer interface or software use.,80.3,81.0,20.4,15.0,21.0,largely_automatable,high,15,16,Software instruction is pure information transfer in the same medium the learner is already working in; interactive walkthroughs and conversational assistants already deliver it end-to-end for most users.
4.A.4.b.6.b.4,Recommend products or services to customers.,80.3,82.5,21.9,17.5,9.0,largely_automatable,high,2,2,Recommender systems plus conversational agents already drive most retail suggestion at scale; only high-consideration or high-trust sales still hinge on a human relationship.
4.A.2.a.4.f.5,Calculate numerical data for medical activities.,80.2,85.0,24.6,65.8,14.0,largely_automatable,medium,8,10,Dose and formula calculations are deterministic and already embedded in calculators and pharmacy systems; the residual constraint is mandated independent human verification because arithmetic errors can be lethal.
4.A.4.a.8.c.3,Answer customer questions about goods or services.,80.2,86.0,25.6,22.5,21.0,largely_automatable,high,1,1,"Product and service Q&A is retrieval over a known knowledge base, which deployed LLM assistants handle end-to-end; the main constraint is liability for wrong answers in regulated categories."
4.A.4.b.6.b.2,Advise customers on technical or procedural issues.,80.2,87.5,27.2,26.2,27.5,largely_automatable,high,4,4,Technical support diagnosis over text and voice is already widely automated with retrieval over documentation; escalation of novel or irate cases is the residual human slice.
4.A.2.b.2.l.3,Develop instructional objectives.,80.1,83.5,23.3,29.2,37.5,largely_automatable,medium,20,20,Writing measurable objectives aligned to standards and taxonomies is a highly templated text task that current models perform reliably; only local curricular approval remains human.
4.A.4.b.6.d.2,Provide technical support for software maintenance or use.,80.1,87.5,27.4,27.0,32.5,largely_automatable,medium,11,13,Deployed AI support agents already resolve a substantial share of software help requests end-to-end from documentation and logs; escalation for novel defects and irate users is the residual human slice.
4.A.2.b.2.b.1,Develop software or computer applications.,80.0,88.5,28.4,41.2,51.0,augmentable,high,10,11,"Code generation is the strongest current LLM capability and agentic tools now complete whole features, but requirement ambiguity, integration with legacy context and review for correctness still gate end-to-end autonomy."
4.A.3.b.6.c.2,Prepare research or technical reports.,80.0,87.5,27.5,47.5,45.0,augmentable,high,3,4,"Structuring, drafting and summarising results is squarely in frontier-model territory; the binding constraint is verified fidelity to underlying data and a human author accepting responsibility for conclusions."
4.A.3.b.6.c.5,Prepare analytical reports.,80.0,87.0,26.9,44.2,43.5,augmentable,high,10,12,Analysis-to-narrative is the paradigm LLM task and templated analytics pipelines already auto-generate reports; interpretation choices and data validation still need human sign-off.
4.A.2.b.2.b.7,Modify software programs to improve performance.,79.8,84.0,24.4,37.5,36.5,augmentable,high,10,14,"Profiling data plus code gives a closed feedback loop that models exploit well; the limit is regression risk in large unfamiliar codebases, which still needs human review before merge."
4.A.2.b.3.a.8,Maintain knowledge of current developments in area of expertise.,79.7,81.5,22.1,31.2,49.0,augmentable,medium,3,3,"Monitoring and digesting literature, standards and news is exactly what retrieval-plus-LLM pipelines do well, but the output is an internalised competence a licensed or accountable practitioner must actually hold and apply, not a deliverable a machine can own."
4.A.3.b.6.p.1,"Write articles, books or other original materials in area of expertise.",79.6,82.5,23.4,32.5,47.5,augmentable,medium,24,24,"Models generate fluent long-form prose but genuine originality, subject-matter authority and reputational authorship are the value being sold, so the expert's name and vetting remain load-bearing."
4.A.4.a.3.c.8,Provide customers with general information or assistance.,79.6,82.5,23.2,17.0,13.5,largely_automatable,high,1,1,"General enquiry handling is low-stakes, script-shaped and grounded in retrievable knowledge bases, which is exactly what current deployed assistants do reliably."
4.A.2.a.4.b.8,Analyze market research data.,79.5,81.5,22.6,28.8,24.0,augmentable,medium,1,1,"Survey coding, segmentation and cross-tab analysis are already substantially tool-driven and LLM-tractable; the binding constraint is framing which commercial question the data actually answers and defending the inference to decision-makers."
4.A.2.a.4.d.1,Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,79.5,83.0,24.0,40.0,28.0,augmentable,medium,9,12,"Symbolic and statistical computation is machine-native, but selecting an appropriate model and validating that its assumptions hold for the physical or applied problem still requires expert framing."
4.A.2.a.4.b.6,Analyze market or customer related data.,79.4,80.0,21.2,30.0,19.0,largely_automatable,medium,4,9,"Segmentation, churn scoring and cohort analysis over CRM data are commodity automated pipelines; residual human input is framing the business question and privacy compliance rather than the analysis itself."
4.A.3.b.6.c.8,Prepare technical or operational reports.,79.4,84.0,25.2,42.5,38.0,augmentable,high,9,10,Operational reporting is often already auto-generated from instrumented systems; residual human role is anomaly interpretation and attesting to accuracy.
4.A.2.b.3.a.13,"Conduct research to inform art, designs, or other work.",79.3,81.5,22.9,22.5,41.5,augmentable,medium,2,2,"Reference gathering, visual and textual precedent search are precisely what retrieval-augmented models do well; what limits full automation is that the researcher's aesthetic intent shapes what counts as relevant material, and some source material must be experienced in situ."
4.A.2.b.3.a.21,Update professional knowledge.,79.3,81.5,22.8,36.2,49.0,augmentable,medium,1,1,"Machines can curate and digest the source material at scale, but the purpose of the activity is to install knowledge in the human who will later exercise it unaided."
4.A.2.a.2.c.1,Compile operational data.,79.2,75.0,16.5,27.5,6.5,largely_automatable,medium,1,2,Operational data aggregation is the core use case of ETL pipelines and BI reporting; the remaining friction is integrating unstructured or manually captured sources.
4.A.4.b.1.g.3,Manage documentation to ensure organization or accuracy.,78.9,80.0,22.2,41.2,23.5,largely_automatable,medium,5,5,"Document classification, version control and completeness checking are well served by content-management systems plus LLM extraction; residual human role is attesting to accuracy in regulated records."
4.A.1.a.1.b.8,Review technical documents to plan work.,78.8,82.5,25.0,37.5,42.5,augmentable,medium,15,21,"The reading half is highly exposed, but converting documents into an actual work plan requires site- and crew-specific context that is not in the documents."
4.A.3.b.6.g.3,Prepare proposal documents.,78.8,84.0,26.4,37.5,41.5,augmentable,medium,9,9,Document assembly from templates and prior content is largely automatable; the binding constraint is that the substantive offer and its accuracy still need human commitment.
4.A.2.a.4.g.2,Analyze operational or research data.,78.7,84.0,26.6,37.5,37.5,augmentable,medium,4,5,Generic data analysis is squarely in the wheelhouse of code-writing models and statistical tooling; framing the question and validating that results mean something remain human-owned.
4.A.3.b.6.c.4,Prepare scientific or technical reports or presentations.,78.7,86.0,28.6,48.0,45.0,augmentable,high,40,53,Text and slide production from data is largely model-doable; hallucination risk and authorship accountability keep a scientist in the loop for verification.
4.A.2.a.2.a.8,Check data for recording errors.,78.6,70.0,12.9,27.5,-7.5,largely_automatable,high,1,1,"Detecting transcription and recording errors is a pattern-matching task that validation rules, double-entry checks and models perform reliably and cheaply."
4.A.2.b.3.a.5,Maintain current knowledge related to work activities.,78.6,78.5,21.3,28.8,43.5,augmentable,low,3,4,Heterogeneous activity spanning document reading and hands-on familiarity; tools can supply the information stream but the knowledge must end up in the worker performing the downstream tasks.
4.A.2.a.3.c.4,Review customer insurance information.,78.4,82.5,25.6,45.0,20.0,largely_automatable,medium,1,1,Coverage and eligibility verification runs against structured policy databases with established clearinghouse automation; exceptions and customer explanation are the shrinking human remainder.
4.A.2.a.4.g.3,"Analyze operational data to evaluate operations, processes or products.",78.2,83.0,26.6,38.5,34.5,augmentable,medium,12,13,"Performance evaluation against metrics is routinely dashboarded and can be narrated by models, but judging whether a process or product is acceptable involves contested standards and organisational stakes."
4.A.1.a.1.b.10,Review work orders or schedules to determine operations or procedures.,78.1,77.5,21.2,32.5,22.5,augmentable,medium,1,1,Work-order parsing and routing is well handled by MES/ERP rules and increasingly by document-reading models; the binding constraint is that the resulting operational decision is usually owned by a supervisor who reconciles the paperwork with shop-floor reality.
4.A.1.b.2.c.3,Analyze test results.,78.1,85.0,28.8,47.5,32.5,augmentable,high,3,3,"This is pure information processing over structured data, squarely in the sweet spot of statistical software and LLMs; the constraint is accountability for interpretation of anomalous or borderline results."
4.A.2.a.4.g.4,Evaluate energy production data.,78.1,77.5,21.2,37.5,20.0,augmentable,medium,2,2,Energy output data is already streamed into SCADA and analytics platforms that flag anomalies and compute performance metrics automatically; what remains human is deciding which deviations matter operationally and committing to a response.
4.A.4.a.3.b.8,Provide information to the general public.,78.1,80.0,23.8,22.5,19.0,largely_automatable,medium,3,3,"Generic public information delivery is already displaced at scale by websites, chatbots and voice agents; only edge cases and vulnerable callers escalate to humans."
4.A.4.a.8.c.6,Correspond with customers to answer questions or resolve complaints.,78.1,85.0,28.8,30.0,26.5,largely_automatable,high,1,1,Asynchronous written correspondence is the single most LLM-native customer task and is already automated at scale in email and ticketing systems.
4.A.1.a.1.d.1,Obtain property information.,78.0,75.0,19.1,31.2,-1.0,largely_automatable,medium,1,1,"Title, assessor and MLS records are digitised and API-accessible, so retrieval and summarisation are routine; only physical inspection or unrecorded encumbrances require a person."
4.A.2.a.3.a.2,Examine documents to verify adherence to requirements.,78.0,81.5,25.6,48.8,31.5,augmentable,medium,1,1,"Document intake and rule-checking are well served by OCR plus LLM extraction, but requirement sets are idiosyncratic and edge-case calls still route to a named reviewer who accepts or rejects."
4.A.2.a.4.g.5,Interpret research or operational data.,78.0,82.5,26.6,38.8,35.0,augmentable,medium,14,16,"Interpretation is pure symbolic reasoning over structured data, which frontier models handle well, but grounding conclusions in undocumented process context and owning the inference still requires the domain expert."
4.A.4.c.1.c.3,Process medical billing information.,78.0,82.5,26.4,48.2,22.5,augmentable,medium,5,6,"Coding, claim scrubbing and adjudication are text-and-rules work highly suited to models, but payer-specific ambiguity and fraud/compliance liability keep a certified biller signing off."
4.A.2.a.4.g.12,Analyze data to inform operational decisions or activities.,77.8,84.0,28.4,40.5,39.0,augmentable,medium,4,4,BI and analytics pipelines plus LLM interpretation cover most of the analytic core; the binding constraint is that the decision context and consequences sit with an accountable manager.
4.A.2.b.1.d.10,Determine appropriate methods for data analysis.,77.8,85.0,29.3,43.8,40.0,augmentable,medium,6,11,"Selecting statistical or modelling approaches is pure reasoning over data structure and question framing, which LLMs and AutoML do well; the constraint is that method choice encodes contestable assumptions a domain expert must defend."
4.A.3.b.6.g.2,Write grant proposals.,77.8,86.0,30.4,43.8,46.0,augmentable,high,32,32,"Grant text is prime LLM territory, yet the substantive scientific/programmatic claims and the institutional signature behind them must come from a responsible human."
4.A.3.b.6.j.2,Maintain records of sales or other business transactions.,77.8,71.0,15.3,36.2,-12.5,largely_automatable,high,2,2,"POS, ERP and accounting platforms already capture and post transactions without human transcription; only exception handling and reconciliation of anomalies still pull a person in."
4.A.4.a.3.c.9,"Provide basic information to guests, visitors, or clients.",77.8,80.0,24.4,12.5,15.0,largely_automatable,medium,1,1,"Kiosks and digital concierges already substitute for much of this, though physical presence at a desk still carries a greeting and reassurance function machines handle poorly."
4.A.4.b.6.d.3,Provide recommendations to others about computer hardware.,77.8,82.5,27.0,24.5,34.0,largely_automatable,medium,9,9,Matching specifications and budget to hardware options is a structured comparison task already performed by configurators and recommendation systems; mistakes are cheap and reversible.
4.A.4.c.1.a.5,Perform student enrollment or registration activities.,77.8,77.5,21.9,30.0,7.5,largely_automatable,high,20,20,Self-service student information systems already run enrollment end-to-end; humans persist mainly for exception handling and for applicants who need guidance.
4.A.2.b.2.b.4,Develop computer or online applications.,77.7,85.0,29.7,41.2,45.0,augmentable,high,2,6,"Greenfield application code is the single most automatable knowledge task today; what still fails is sustained autonomy over integration, ambiguous specs and production consequences."
4.A.3.b.6.g.5,Prepare proposal documents or grant applications.,77.7,84.0,28.6,41.5,42.5,augmentable,medium,4,5,Essentially a drafting-and-assembly task that current models handle at speed; human ownership persists for substantive claims and signature authority.
4.A.4.a.2.a.2,Communicate green energy production information.,77.7,82.5,27.2,31.2,37.5,augmentable,low,1,1,"This is largely reporting technical production data and explaining it, well within automated data-to-narrative pipelines; residual constraint is verification of figures that may carry regulatory or investor weight."
4.A.4.a.5.a.1,Refer customers to appropriate personnel.,77.7,77.5,22.1,20.0,7.5,largely_automatable,high,1,2,Matching a stated need to the right internal party is a classification and routing problem already handled by deployed triage and ticketing systems.
4.A.2.a.4.k.2,Analyze financial information.,77.6,86.5,31.3,56.2,29.0,augmentable,high,1,1,Purely symbolic work over structured and textual data that models handle well; the binding constraint is data trustworthiness and the fact that material financial conclusions are attested to by a named professional.
4.A.2.b.2.f.1,Develop database parameters or specifications.,77.6,81.5,26.3,36.2,36.5,augmentable,high,2,6,Schema and parameter design is pure symbolic work well within model capability; the constraint is eliciting real business requirements and owning downstream performance and migration consequences.
4.A.4.a.2.e.4,Share sales-related or market information with colleagues.,77.5,77.5,22.6,21.2,17.5,largely_automatable,medium,2,3,"CRM dashboards, automated pipeline digests and market-intelligence summarisation already push this information to colleagues without human mediation; only nuanced field colour still needs a person."
4.A.4.a.2.h.9,Communicate project information to others.,77.5,80.0,25.1,28.8,25.0,augmentable,medium,8,13,Status summarisation and distribution is already partly automated by project tooling and generative reporting; what resists is tailoring emphasis to audiences and fielding follow-up in real time.
4.A.4.b.6.e.5,Advise others on analytical techniques.,77.5,86.0,31.0,30.0,51.0,augmentable,medium,1,1,"Explaining and recommending analytical methods is near-pure knowledge transfer that frontier models handle well; the binding constraint is that the advisee must trust and apply the method in a specific data context, which still routes through a credible human expert."
4.A.2.a.4.k.4,Analyze business or financial data.,77.4,85.0,30.1,50.0,26.5,augmentable,high,1,1,BI pipelines plus LLM analysis can generate most descriptive and diagnostic findings; framing the business question and owning the interpretation for decision-makers is what still requires a human.
4.A.4.b.1.f.3,Prepare activity or work schedules.,77.4,74.0,19.1,25.0,2.5,largely_automatable,high,1,1,Activity and work scheduling is a constrained optimization problem that deployed planning and project software solves routinely.
4.A.4.b.6.a.5,Advise patients on healthcare system processes.,77.4,84.0,29.1,35.0,31.5,largely_automatable,medium,3,3,"Navigating referrals, coverage and paperwork is rule-based information retrieval that chatbots and payer portals already handle, though confused or distressed patients still need a human fallback."
4.A.1.b.1.b.2,Identify potential customers.,77.3,77.5,22.8,16.2,15.0,largely_automatable,high,3,4,"Prospect identification and lead scoring are already productised in CRM and intent-data platforms; errors are cheap and self-correcting, so little human anchoring is needed."
4.A.3.b.6.i.1,Prepare procedural documents.,77.3,80.0,25.3,43.8,40.0,augmentable,medium,15,16,"Drafting SOPs and manuals is squarely in an LLM's wheelhouse, but the content must be sourced from subject-matter experts and formally approved, since people will follow the procedure as written."
4.A.2.a.2.a.7,Verify accuracy of data.,77.2,72.5,18.2,36.2,2.5,largely_automatable,medium,4,4,"Automated reconciliation, checksum and validation-rule systems handle most accuracy checking already; the limit is verifying against ground truth that exists only outside the system."
4.A.2.a.4.f.6,Analyze quantitative data to determine effectiveness of treatments or therapies.,77.2,86.5,32.1,60.8,42.5,augmentable,medium,7,7,"Statistical evaluation of treatment effectiveness is highly codified and tool-supported, but confounding, endpoint selection and regulatory sign-off keep a qualified analyst accountable."
4.A.2.b.3.a.15,Maintain knowledge of laws or regulations.,77.0,83.5,29.4,61.2,51.0,augmentable,medium,1,1,"Regulatory horizon-scanning services already ingest and summarise rule changes automatically, but interpreting applicability to a specific operation and bearing compliance liability keeps a named professional in the loop."
4.A.3.b.2.f.10,Develop data analysis or data management procedures.,77.0,84.5,30.4,46.8,46.0,augmentable,medium,1,2,"Analytic pipeline and methodology design is textual and code-like, squarely in LLM range, though validity of the analytic choices against messy real data still needs expert verification."
4.A.3.b.6.l.6,Prepare healthcare training materials.,76.9,82.0,28.2,50.8,39.5,augmentable,medium,7,7,"Drafting is squarely in model capability, but clinical accuracy and accreditation of healthcare instruction demand review by a credentialed subject-matter expert who bears responsibility for errors taught to practitioners."
4.A.1.a.1.t.8,Research new technologies.,76.7,81.0,27.6,29.0,45.0,augmentable,medium,1,1,"Technology scouting is almost pure reading and summarising over public information, the closest of this set to full automation; residual human value lies in filtering hype and relevance rather than in gathering."
4.A.2.a.4.g.16,Analyze traffic data.,76.7,73.5,20.1,35.0,7.0,largely_automatable,medium,2,2,"Traffic counting, flow modelling and signal-timing optimisation run on deployed sensor and simulation platforms with minimal human input; engineering sign-off applies mainly when designs change infrastructure."
4.A.4.c.3.e.1,"Order materials, supplies, or equipment.",76.7,72.5,19.1,28.8,0.0,largely_automatable,high,3,3,"Automatic replenishment and EDI purchase-order generation against catalogues and contracts are standard deployed practice; only exceptions, spend approval and new-supplier cases route to a human."
